제목,저자,게시 날짜,출처,권,호,페이지,게시자,설명,전체 인용횟수,학술 문서,컨퍼런스,저널,도서,발명자,특허청,특허 번호,출원번호,기관
Askworld: Budget-sensitive query evaluation for knowledge-on-demand,"Mehdi Samadi, Partha Talukdar, Manuela Veloso, Tom Mitchell",2015/6/23,,,,,,"Recently, several Web-scale knowledge harvesting systems have been built, each of which is competent at extracting information from certain types of data (eg, unstructured text, structured tables on the web, etc.). In order to determine the response to a new query posed to such systems (eg, is sugar a healthy food?), it is useful to integrate opinions from multiple systems. If a response is desired within a specific time budget (eg, in less than 2 seconds), then maybe only a subset of these resources can be queried. In this paper, we address the problem of knowledge integration for on-demand time-budgeted query answering. We propose a new method, AskWorld, which learns a policy that chooses which queries to send to which resources, by accommodating varying budget constraints that are available only at query (test) time. Through extensive experiments on real world datasets, we demonstrate AskWorld’s capability in selecting most informative resources to query within test-time constraints, resulting in improved performance compared to competitive baselines.",7회,"Askworld: Budget-sensitive query evaluation for knowledge-on-demand
M Samadi, P Talukdar, M Veloso, T Mitchell - Twenty-Fourth International Joint Conference on …, 2015
7회 인용 관련 학술자료 전체 11개의 버전",Twenty-Fourth International Joint Conference on Artificial Intelligence,,,,,,,
CMUML System for KBP 2015 Cold Start Slot Filling.,"Bryan Kisiel, Bill McDowell, Matt Gardner, Ndapandula Nakashole, Emmanouil A Platanios, Abulhair Saparov, Shashank Srivastava, Derry Wijaya, Tom M Mitchell",2015,,,,,,"In this paper, we present an overview of the CMUML system for KBP 2015 English Cold Start Slot Filling (SF) task. The CMUML 2015 SF system aggregates the output of several semantic analysis sub-components that read natural language at the sentence level. These sub-components, which we refer to as microreaders, have different reading capabilities. In addition, we ran a fraction of the queries on our 2014 CRF-based system. We also used our 2014 rule-based system",7회,"CMUML System for KBP 2015 Cold Start Slot Filling.
B Kisiel, B McDowell, M Gardner, N Nakashole… - TAC, 2015
7회 인용 관련 학술자료",TAC,,,,,,,
CMUML System for KBP 2013 Slot Filling.,"Bryan Kisiel, Justin Betteridge, Matt Gardner, Jayant Krishnamurthy, Ndapa Nakashole, Mehdi Samadi, Partha Pratim Talukdar, Derry Wijaya, Tom M Mitchell",2013,,,,,,"In this paper, we present an overview of the CMUML system for KBP 2013 English Slot Filling (SF) task. The system used a combination of distant supervision, stacked generalization and CRF-based structured prediction. Recently available anchor text data was also used for better entity matching. The system takes a modular approach so that independently developed semantic annotators can be effectively integrated without needing target ontology-specific retraining. While precision can of course be improved, the system turned out to be particularly conservative in its predictions resulting in lower recall. In addition to the main submission, we also made publicly available1 automatically tagged semantic categories of about 13 million noun phrases extracted from the KBP 2013 source corpus.",7회,"CMUML System for KBP 2013 Slot Filling.
B Kisiel, J Betteridge, M Gardner, J Krishnamurthy… - TAC, 2013
7회 인용 관련 학술자료",TAC,,,,,,,
A combined expression-interaction model for inferring the temporal activity of transcription factors,"Yanxin Shi, Itamar Simon, Tom Mitchell, Ziv Bar-Joseph",2008/3/30,,,,82-97,"Springer, Berlin, Heidelberg","Methods suggested for reconstructing regulatory networks can be divided into two sets based on how the activity level of transcription factors (TFs) is inferred. The first group of methods relies on the expression levels of TFs assuming that the activity of a TF is highly correlated with its mRNA abundance. The second treats the activity level as unobserved and infers it from the expression of the genes the TF regulates. While both types of methods were successfully applied, each suffers from drawbacks that limit their accuracy. For the first set, the assumption that mRNA levels are correlated with activity is violated for many TFs due to post-transcriptional modifications. For the second, the expression level of a TF which might be informative is completely ignored. Here we present the Post-Transcriptional Modification Model (PTMM) that unlike previous methods utilizes both sources of data concurrently. Our method …",7회,"A combined expression-interaction model for inferring the temporal activity of transcription factors
Y Shi, I Simon, T Mitchell, Z Bar-Joseph - Annual International Conference on Research in …, 2008
7회 인용 관련 학술자료 전체 9개의 버전",Annual International Conference on Research in Computational Molecular Biology,,,,,,,
The spy who tried to stop a war: Katharine Gun and the secret plot to sanction the Iraq invasion,"Marcia Mitchell, Thomas Mitchell",2008,,,,,PoliPointPress,"British secret service officer Katharine Gun's only crime was telling the truth, but she paid a steep price when she exposed a US-UK spy operation to secure UN authorization for the Iraq invasion. Thoroughly researched and engagingly written, this book tells the story of the young woman Sean Penn describes as"" a hero of the human spirit.""",7회,"The spy who tried to stop a war: Katharine Gun and the secret plot to sanction the Iraq invasion
M Mitchell, T Mitchell - 2008
7회 인용 관련 학술자료",,,,,,,,
Chapter 19 the female genital system and breast,"Vinay Kumar, Abul K Abbas, Nelson Fausto, Richard Mitchell",2007,,,,,,,7회,"Chapter 19 the female genital system and breast
V Kumar, AK Abbas, N Fausto, R Mitchell - Robbins basic pathology. 8th ed. Philadelphia …, 2007
7회 인용 관련 학술자료",,Robbins basic pathology. 8th ed. Philadelphia: Saunders,,,,,,
The Spy who Seduced America: Lies and Betrayal in the Heat of the Cold War: the Judith Coplon Story,"Marcia Mitchell, Thomas Mitchell",2002,,,,,Invisible Cities Press,,7회,"The Spy who Seduced America: Lies and Betrayal in the Heat of the Cold War: the Judith Coplon Story
M Mitchell, T Mitchell - 2002
7회 인용 관련 학술자료",,,,,,,,
Machine learning meets natural language,Tom Mitchell,1997/10/6,,,,391,,"The majority of the world's online data now exists in the form of text, rather than as numeric or symbolic data. It is therefore natural to seek better methods for automatically interpreting such text data. For example, consider the fact that your computer workstation can now retrieve up to 200,000,000 pages of text from the World Wide Web, but does not currently understand the content of any of these pages.
This talk considers how we might use machine learning methods to improve the ability of computers to interpret and process text data. First, we examine a class of learning algorithms that view each text document as a"" bag of words"", ignoring information about the sequence in which these words occur. Recently these methods have been shown to be surprisingly successful at learning to classify various types of documents. For example, we will describe our NewsWeeder system, which learns the reading interests of various individuals from training examples of news articles they have read and liked (or disliked) in the past. This learned interest profile is then used to recommend interesting new articles to the user.",7회,"Machine learning meets natural language
T Mitchell - EPIA, 1997
7회 인용 관련 학술자료 전체 5개의 버전",EPIA,,,,,,,
Recent advances in robot learning,"Judy A Franklin, Tom M Mitchell, Sebastian Thrun",1996/5,,,,,Kluwer Academic,"Machine Learning, 23, 117-119 (1996)© 1996 Kluwer Academic Publishers, Boston. Manufactured in The Netherlands.
This special issue contains seven papers on robot learning written by leading researchers in the field. As the selection of papers illustrates, the field of robot learning is both active and diverse. A variety of machine learning methods, ranging from inductive logic programming to reinforcement learning, is being applied to many subproblems in robot perception and control, often with objectives as diverse as parameter calibration or concept formation. While no unified robot learning framework has yet emerged to cover the variety of problems and approaches described in these papers and other publications, a clear set of shared issues underlies many robot learning problems.",7회,"Recent advances in robot learning
JA Franklin, TM Mitchell, S Thrun - 1996
7회 인용 관련 학술자료 전체 5개의 버전",,,,,,,,
Challenge problems for artificial intelligence,"Rodney A Brooks, Bart Selman, Thomas Dean, Eric Horvitz, TM Mitchell, NJ Nilsson",1996,,4,,,,"AI textbooks and papers often discuss the big questions, such as “how to reason with uncertainty”,“how to reason efficiently”, or “how to improve performance through learning.” It is more difficult, however, to find descriptions of concrete problems or challenges that are still ambitious and interesting, yet not so open-ended. The goal of this panel is to formulate a set of such challenge problems for the field. Each panelist was asked to formulate one or more challenges. The emphasis is on problems for which there is a good chance that they will be resolved within the next five to ten years.
A good example of the potential benefit of a concrete AI challenge problem is the recent success of Deep Blue. Deep Blue is the result of a research effort focused on a single problem: develop a program to defeat the world chess champion. Although Deep Blue has not yet quite achieved this goal, it played a remarkably strong game against Kasparov in the recent ACM Chess Challenge Match.",7회,"Challenge problems for artificial intelligence
RA Brooks, B Selman, T Dean, E Horvitz, TM Mitchell… - Thirteenth National Conference on Artificial Intelligence …, 1996
7회 인용 관련 학술자료 전체 8개의 버전",,Thirteenth National Conference on Artificial Intelligence-AAAI,,,,,,
Embedding learning in a general frame-based architecture,"Toshikazu Tanaka, Tom M Mitchell",1991,,,,3-34,,"This research seeks to incorporate machine learning capabilities within a general-purpose frame-based architecture. We describe CHUNKER, an explanation-based chunking mechanism built on top of THEO, a software framework to support development of self-modifying problem solving systems. CHUNKER forms rules that improve problem solving efficiency, by generalizing and compressing the chains of inference which THEO produces during problem solving. After presenting the learning algorithm used by CHUNKER, we illustrate its application to learning search control knowledge, present results of simple experiments, discuss its relationship to THEO's other three learning mechanisms, and consider the relationship between architectural features of THEO and the effectiveness of CHUNKER.",7회,"Embedding learning in a general frame-based architecture
T Tanaka, TM Mitchell - Applications Of Learning And Planning Methods, 1991
7회 인용 관련 학술자료 전체 3개의 버전",,,Applications Of Learning And Planning Methods,,,,,
The MONK’s comparison of learning algorithms. Introduction and survey,"S Thrun, Tom Mitchell, John Cheng",1991,,,,,,"The learning taslr is a binary classiﬁcation taslc. Each problem is given by a. logical description of a class. Robots belong either to this class or not, but instead of providing a complete class description to the learning problem, only a. subset of all 432 possible robots with its classification is given. The learning task is then to generalize over these examples and, if the particular learning techniqiie at band allows this, to derive a simple class description.",7회,"The MONK’s comparison of learning algorithms. Introduction and survey
S Thrun, T Mitchell, J Cheng - The MONK's problem. A performance comparison of …, 1991
7회 인용 관련 학술자료",,The MONK's problem. A performance comparison of different learning algoritms. Pittsburg: Carnegie-Mellon Univ,,,,,,
Toward a learning robot,"Tom M Mitchell, Matthew T Mason, Alan D Christiansen",1989/1/24,,,,,Carnegie-Mellon University. Department of Computer Science,"The problem of robot manipulation-of planning how to successfully grasp, push, and pull arbitrary objects to reconfigure them as desired-is an unsolved problem in robotics. We are presently developing a hand-eye system which is intended to begin with simple knowledge about how to manipulate its world, and to itself acquire increasingly refined knowledge about manipulation in specialized contexts. For example, the robot may begin with knowledge such as"" to move an object somewhere to the right, push from some point on the left"", and may refine the knowledge through experience into more specific, more precise assertions such as"" to move an object which is in contact with a wall to the right in a straight line, push from a point on the left which is 2/3 of the distance from the wall"" The learning method is a type of explanation-based generalization driven by an incomplete theory of the domain-in particular by a theory for qualitative differential analysis. This paper presents an approach to constructing a planning/learning system of this kind, and is primarily organized around a hand-generated example of the type of behavior our system is intended to exhibit.",7회,"Toward a learning robot
TM Mitchell, MT Mason, AD Christiansen - 1989
7회 인용 관련 학술자료 전체 5개의 버전",,,,,,,,
A case study in robot exploration,"Long-Ji Lin, Tom M Mitchell, Andrew Philips, Reid Simmons",1989/1,,,,,"Carnegie Mellon University, the Robotics Institute","This paper reports on a case study in autonomous robot exploration. In particular, we describe a working mobile manipulator robot that explores our laboratory to identify and collect cups. This system is a first step toward our research goal of developing an architecture for robust robot planning, control, adaptation, error monitoring, error recovery, and interaction with users. We describe the current system, lessons learned from our earlier failures, organizing principles employed in the current system, and limits to the current approach. We also discuss the implications of this work for a more robust robot control architecture which is presently under development.",7회,"A case study in robot exploration
LJ Lin, TM Mitchell, A Philips, R Simmons - 1989
7회 인용 관련 학술자료 전체 10개의 버전",,,,,,,,
Version spaces: An approach to rule revision during rule induction,Tom Michael Mitchell,1977,,,,,"Department of Computer Science, Stanford University",,7회,"Version spaces: An approach to rule revision during rule induction
TM Mitchell - 1977
7회 인용 관련 학술자료",,,,,,,,
1986,"RS Michalski, JG Carbonell, TM Mitchell",,,,,,,,7회,"1986
RS Michalski, JG Carbonell, TM Mitchell - Machine Learning II
7회 인용 관련 학술자료",,Machine Learning II,,,,,,
We Don't Speak the Same Language: Interpreting Polarization through Machine Translation,"Ashiqur R KhudaBukhsh, Rupak Sarkar, Mark S Kamlet, Tom M Mitchell",2020/10/5,,,,,,"Polarization among US political parties, media and elites is a widely studied topic. Prominent lines of prior research across multiple disciplines have observed and analyzed growing polarization in social media. In this paper, we present a new methodology that offers a fresh perspective on interpreting polarization through the lens of machine translation. With a novel proposition that two sub-communities are speaking in two different\emph {languages}, we demonstrate that modern machine translation methods can provide a simple yet powerful and interpretable framework to understand the differences between two (or more) large-scale social media discussion data sets at the granularity of words. Via a substantial corpus of 86.6 million comments by 6.5 million users on over 200,000 news videos hosted by YouTube channels of four prominent US news networks, we demonstrate that simple word-level and phrase-level translation pairs can reveal deep insights into the current political divide--what is\emph {black lives matter} to one can be\emph {all lives matter} to the other.",6회,"We Don't Speak the Same Language: Interpreting Polarization through Machine Translation
AR KhudaBukhsh, R Sarkar, MS Kamlet, TM Mitchell - arXiv preprint arXiv:2010.02339, 2020
6회 인용 관련 학술자료 전체 2개의 버전",,arXiv preprint arXiv:2010.02339,,,,,,
Jelly Bean World: A testbed for never-ending learning,"Emmanouil Antonios Platanios, Abulhair Saparov, Tom Mitchell",2020/2/15,,,,,,"Machine learning has shown growing success in recent years. However, current machine learning systems are highly specialized, trained for particular problems or domains, and typically on a single narrow dataset. Human learning, on the other hand, is highly general and adaptable. Never-ending learning is a machine learning paradigm that aims to bridge this gap, with the goal of encouraging researchers to design machine learning systems that can learn to perform a wider variety of inter-related tasks in more complex environments. To date, there is no environment or testbed to facilitate the development and evaluation of never-ending learning systems. To this end, we propose the Jelly Bean World testbed. The Jelly Bean World allows experimentation over two-dimensional grid worlds which are filled with items and in which agents can navigate. This testbed provides environments that are sufficiently complex and where more generally intelligent algorithms ought to perform better than current state-of-the-art reinforcement learning approaches. It does so by producing non-stationary environments and facilitating experimentation with multi-task, multi-agent, multi-modal, and curriculum learning settings. We hope that this new freely-available software will prompt new research and interest in the development and evaluation of never-ending learning systems and more broadly, general intelligence systems.",6회,"Jelly Bean World: A testbed for never-ending learning
EA Platanios, A Saparov, T Mitchell - arXiv preprint arXiv:2002.06306, 2020
6회 인용 관련 학술자료 전체 4개의 버전",,arXiv preprint arXiv:2002.06306,,,,,,
Efficient and distributed generalized canonical correlation analysis for big multiview data,"Xiao Fu, Kejun Huang, Evangelos E Papalexakis, Hyun Ah Song, Partha Talukdar, Nicholas D Sidiropoulos, Christos Faloutsos, Tom Mitchell",2018/10/16,,31,12,2304-2318,IEEE,"Generalized canonical correlation analysis (GCCA) integrates information from data samples that are acquired at multiple feature spaces (or `views') to produce low-dimensional representations-which is an extension of classical two-view CCA. Since the 1960s, (G)CCA has attracted much attention in statistics, machine learning, and data mining because of its importance in data analytics. Despite these efforts, the existing GCCA algorithms have serious complexity issues. The memory and computational complexities of the existing algorithms usually grow as a quadratic and cubic function of the problem dimension (the number of samples / features), respectively-e.g., handling views with ≈1,000 features using such algorithms already occupies ≈10 6 memory and the periteration complexity is ≈10 9 flops-which makes it hard to push these methods much further. To circumvent such difficulties, we first propose a …",6회,"Efficient and distributed generalized canonical correlation analysis for big multiview data
X Fu, K Huang, EE Papalexakis, HA Song, P Talukdar… - IEEE Transactions on Knowledge and Data …, 2018
6회 인용 관련 학술자료 전체 5개의 버전",,IEEE Transactions on Knowledge and Data Engineering,,,,,,
Track how technology is transforming work,"Erik Brynjolfsson, Tom Mitchell",2017/4,,544,,290-292,,,6회,"Track how technology is transforming work
E Brynjolfsson, T Mitchell - Nature, 2017
6회 인용 관련 학술자료",,Nature,,,,,,
Turbo‐SMT: Parallel coupled sparse matrix‐Tensor factorizations and applications,"Evangelos E Papalexakis, Tom M Mitchell, Nicholas D Sidiropoulos, Christos Faloutsos, Partha Pratim Talukdar, Brian Murphy",2016/8,,9,4,269-290,"Wiley Subscription Services, Inc., A Wiley Company","How can we correlate the neural activity in the human brain as it responds to typed words, with properties of these terms (like ‘edible’,‘fits in hand’)? In short, we want to find latent variables, that jointly explain both the brain activity, as well as the behavioral responses. This is one of many settings of the Coupled Matrix‐Tensor Factorization (CMTF) problem. Can we enhance any CMTF solver, so that it can operate on potentially very large datasets that may not fit in main memory? We introduce Turbo‐SMT, a meta‐method capable of doing exactly that: it boosts the performance of any CMTF algorithm, produces sparse and interpretable solutions, and parallelizes any CMTF algorithm, producing sparse and interpretable solutions (up to 65 fold). Additionally, we improve upon ALS, the work‐horse algorithm for CMTF, with respect to efficiency and robustness to missing values. We apply Turbo‐SMT to BrainQ, a dataset …",6회,"Turbo‐SMT: Parallel coupled sparse matrix‐Tensor factorizations and applications
EE Papalexakis, TM Mitchell, ND Sidiropoulos… - Statistical Analysis and Data Mining: The ASA Data …, 2016
6회 인용 관련 학술자료 전체 12개의 버전",,Statistical Analysis and Data Mining: The ASA Data Science Journal,,,,,,
Ctps: Contextual temporal profiles for time scoping facts using state change detection,"Derry Tanti Wijaya, Ndapandula Nakashole, Tom Mitchell",2014/10,,,,1930-1936,,"Temporal scope adds a time dimension to facts in Knowledge Bases (KBs). These time scopes specify the time periods when a given fact was valid in real life. Without temporal scope, many facts are underspecified, reducing the usefulness of the data for upper level applications such as Question Answering. Existing methods for temporal scope inference and extraction still suffer from low accuracy. In this paper, we present a new method that leverages temporal profiles augmented with context—Contextual Temporal Profiles (CTPs) of entities. Through change patterns in an entity’s CTP, we model the entity’s state change brought about by real world events that happen to the entity (eg, hired, fired, divorced, etc.). This leads to a new formulation of the temporal scoping problem as a state change detection problem. Our experiments show that this formulation of the problem, and the resulting solution are highly effective for inferring temporal scope of facts.",6회,"Ctps: Contextual temporal profiles for time scoping facts using state change detection
DT Wijaya, N Nakashole, T Mitchell - Proceedings of the 2014 Conference on Empirical …, 2014
6회 인용 관련 학술자료 전체 15개의 버전",Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing (EMNLP),,,,,,,
From data to knowledge to action: Enabling advanced intelligence and decision-making for America’s security,"Randal E Bryant, Jaime G Carbonell, Tom Mitchell",2010/7,,6,,,,Large-scale machine learning can fundamentally transform the ability of intelligence analysts to efficiently extract important insights relevant to our nation’s security from the vast amounts of intelligence data being generated and collected worldwide. Intelligence organizations can tap into rapid data analytics innovations that Internet industries and university research organizations are making through the use of unclassified research partnerships.,6회,"From data to knowledge to action: Enabling advanced intelligence and decision-making for America’s security
RE Bryant, JG Carbonell, T Mitchell - Computing Community Consortium, Version, 2010
6회 인용 관련 학술자료 전체 7개의 버전",,"Computing Community Consortium, Version",,,,,,
Machine learning (draft),TM Mitchell,2010,,,,1-17,McGraw Hill,,6회,"Machine learning (draft)
TM Mitchell - 2010
6회 인용 관련 학술자료",,,,,,,,
"Taking Sides: Clashing Views in World History, Volume 1: The Ancient World to the Pre-Modern Era, Expanded","Joseph Mitchell, Helen Buss Mitchell",2009/3/27,,,,,McGraw-Hill/Dushkin,"Taking Sides volumes present current controversial issues in a debate-style format designed to stimulate student interest and develop critical thinking skills. Each issue is thoughtfully framed with an issue summary, an issue introduction, and a postscript or challenge questions. Taking Sides readers feature an annotated listing of selected World Wide Web sites. An online Instructor’s Resource Guide with testing material is available for each volume. Using Taking Sides in the Classroom is also an excellent instructor resource. Visit www. mhcls. com for more information.",6회,"Taking Sides: Clashing Views in World History, Volume 1: The Ancient World to the Pre-Modern Era, Expanded
J Mitchell, HB Mitchell - 2009
6회 인용 관련 학술자료",,,,,,,,
Computer based testing of medical knowledge using short-answer free-text items,"Tom Mitchell, Nicola Aldridge, Walter Williamson, Peter Broomhead",2003/4,,,,,,"Short-answer free-text items are highly valued in traditional paperbased assessment and learning, but have been absent from computer-based assessment due to limitations in computerised marking technology. Recent developments, however, have seen the introduction of natural language based assessment engines.
One such engine has been developed in the UK by Intelligent Assessment Technologies. The engine looks for specific content within freetext responses, the content being specified in the form of a number of mark scheme templates. Each template represents one form of a valid (or a specifically invalid) answer.",6회,"Computer based testing of medical knowledge using short-answer free-text items
T Mitchell, N Aldridge, W Williamson, P Broomhead - Scrolla, Scottish Centre for Research into On-line …, 2003
6회 인용 관련 학술자료",,"Scrolla, Scottish Centre for Research into On-line Learning and Assessment, Symposium on Automatic Free Text Analysis",,,,,,
WCB,"TM Mitchell, Machine Learning",1997,,,,,McGraw-Hill,,6회,"WCB
TM Mitchell, M Learning - 1997
6회 인용 관련 학술자료",,,,,,,,
Artificial intelligence and design,"Tom Mitchell, Jack Mostow",1987,,,,,AAAI,,6회,"Artificial intelligence and design
T Mitchell, J Mostow - 1987
6회 인용 관련 학술자료",,,,,,,,
VEXED: A Knowledge-Based VLSI Design Consultant,"Tom Michael Mitchell, Louis I Steinberg, Jeffrey S Shulman",1984,,,,,"Department of Computer Science, Rutgers University",,6회,"VEXED: A Knowledge-Based VLSI Design Consultant
TM Mitchell, LI Steinberg, JS Shulman - 1984
6회 인용 관련 학술자료",,,,,,,,
The need for biases in learning generalizations (pp. 184–191),TM Mitchell,1980,,,,,,,6회,"The need for biases in learning generalizations (pp. 184–191)
TM Mitchell - Department of Computer Science, Laboratory for …, 1980
6회 인용 관련 학술자료",,"Department of Computer Science, Laboratory for Computer Science Research, Rutgers Univ",,,,,,
Version spaces,TM Mitchell,1978,,,,,,,6회,"Version spaces
TM Mitchell - 1978
6회 인용 관련 학술자료",,,,,,,,
Computer-Assisted Structure Elucidation Using Automatically Acquired 13C NMR Rules,"GRETCHEN M SCHWENZER, TOM M MITCHELL",1977,,,,58-76,,"Carbon-13 nuclear magnetic resonance (CMR) has developed into an important tool for the structural chemist. A CMR spectrum exhibits a wide range of shifts which have been shown to have a strong correlation with structure (1,2). A natural abundance CMR spectrum which is fully proton decoupled consists of a number of sharp peaks which correspond to the resonance frequencies in an applied magnetic field of the various types of carbon atoms present. A C-13 shift is the amount an observed peak is shifted from that of a reference peak, usually tetramethylsilane (TMS).
Molecular structure elucidation using CMR consists of establishing a set of rules which summarize the CMR behavior for a set of compounds and then using the rules to identify unknown compounds. In the traditional approach to structure elucidation using CMR the chemist forms a set of empirical rules by sorting through a large amount of data …",6회,"Computer-Assisted Structure Elucidation Using Automatically Acquired 13C NMR Rules
GM SCHWENZER, TOMM MITCHELL - 1977
6회 인용 관련 학술자료",,,,,,,,
Interactive task and concept learning from natural language instructions and GUI demonstrations,"Toby Jia-Jun Li, Marissa Radensky, Justin Jia, Kirielle Singarajah, Tom M Mitchell, Brad A Myers",2019/8/30,,,,,,"Natural language programming is a promising approach to enable end users to instruct new tasks for intelligent agents. However, our formative study found that end users would often use unclear, ambiguous or vague concepts when naturally instructing tasks in natural language, especially when specifying conditionals. Existing systems have limited support for letting the user teach agents new concepts or explaining unclear concepts. In this paper, we describe a new multi-modal domain-independent approach that combines natural language programming and programming-by-demonstration to allow users to first naturally describe tasks and associated conditions at a high level, and then collaborate with the agent to recursively resolve any ambiguities or vagueness through conversations and demonstrations. Users can also define new procedures and concepts by demonstrating and referring to contents within GUIs of existing mobile apps. We demonstrate this approach in PUMICE, an end-user programmable agent that implements this approach. A lab study with 10 users showed its usability.",5회,"Interactive task and concept learning from natural language instructions and GUI demonstrations
TJJ Li, M Radensky, J Jia, K Singarajah, TM Mitchell… - arXiv preprint arXiv:1909.00031, 2019
5회 인용 관련 학술자료 전체 4개의 버전",,arXiv preprint arXiv:1909.00031,,,,,,
The semantics of adjective noun phrases in the human brain,"Alona Fyshe, Gustavo Sudre, Leila Wehbe, Nicole Rafidi, Tom M Mitchell",2019/1/1,,,,089615,Cold Spring Harbor Laboratory,"As a person reads, the brain performs complex operations to create higher order semantic representations from individual words. While these steps are effortless for competent readers, we are only beginning to understand how the brain performs these actions. Here, we explore semantic composition using magnetoencephalography (MEG) recordings of people reading adjective-noun phrases presented one word at a time. We track the neural representation of semantic information over time, through different brain regions. Our results reveal two novel findings: 1) a neural representation of the adjective is present during noun presentation, but this neural representation is different from that observed during adjective presentation 2) the neural representation of adjective semantics observed during adjective reading is reactivated after phrase reading, with remarkable consistency. We also note that while the semantic representation of the adjective during the reading of the adjective is very distributed, the later representations are concentrated largely to temporal and frontal areas previously associated with composition. Taken together, these results paint a picture of information flow in the brain as phrases are read and understood.",5회,"The semantics of adjective noun phrases in the human brain
A Fyshe, G Sudre, L Wehbe, N Rafidi, TM Mitchell - bioRxiv, 2019
5회 인용 관련 학술자료 전체 3개의 버전",,bioRxiv,,,,,,
Merging knowledge bases in different languages,"Jerónimo Hernández-González, Estevam R Hruschka Jr, Tom Mitchell",2017/8,,,,21-29,,"Recently, different systems which learn to populate and extend a knowledge base (KB) from the web in different languages have been presented. Although a large set of concepts should be learnt independently from the language used to read, there are facts which are expected to be more easily gathered in local language (eg, culture or geography). A system that merges KBs learnt in different languages will benefit from the complementary information as long as common beliefs are identified, as well as from redundancy present in web pages written in different languages. In this paper, we deal with the problem of identifying equivalent beliefs (or concepts) across language specific KBs, assuming that they share the same ontology of categories and relations. In a case study with two KBs independently learnt from different inputs, namely web pages written in English and web pages written in Portuguese respectively, we report on the results of two methodologies: an approach based on personalized PageRank and an inference technique to find out common relevant paths through the KBs. The proposed inference technique efficiently identifies relevant paths, outperforming the baseline (a dictionary-based classifier) in the vast majority of tested categories.",5회,"Merging knowledge bases in different languages
J Hernández-González, ER Hruschka Jr, T Mitchell - Proceedings of TextGraphs-11: the Workshop on …, 2017
5회 인용 관련 학술자료 전체 4개의 버전",Proceedings of TextGraphs-11: the Workshop on Graph-based Methods for Natural Language Processing,,,,,,,
A probabilistic generative grammar for semantic parsing,"Abulhair Saparov, Tom M Mitchell",2016/6/20,,,,,,"We present a framework that couples the syntax and semantics of natural language sentences in a generative model, in order to develop a semantic parser that jointly infers the syntactic, morphological, and semantic representations of a given sentence under the guidance of background knowledge. To generate a sentence in our framework, a semantic statement is first sampled from a prior, such as from a set of beliefs in a knowledge base. Given this semantic statement, a grammar probabilistically generates the output sentence. A joint semantic-syntactic parser is derived that returns the -best semantic and syntactic parses for a given sentence. The semantic prior is flexible, and can be used to incorporate background knowledge during parsing, in ways unlike previous semantic parsing approaches. For example, semantic statements corresponding to beliefs in a knowledge base can be given higher prior probability, type-correct statements can be given somewhat lower probability, and beliefs outside the knowledge base can be given lower probability. The construction of our grammar invokes a novel application of hierarchical Dirichlet processes (HDPs), which in turn, requires a novel and efficient inference approach. We present experimental results showing, for a simple grammar, that our parser outperforms a state-of-the-art CCG semantic parser and scales to knowledge bases with millions of beliefs.",5회,"A probabilistic generative grammar for semantic parsing
A Saparov, TM Mitchell - arXiv preprint arXiv:1606.06361, 2016
5회 인용 관련 학술자료 전체 6개의 버전",,arXiv preprint arXiv:1606.06361,,,,,,
"CMUML Micro-Reader System for KBP 2016 Cold Start Slot Filling, Event Nugget Detection, and Event Argument Linking.","Bishan Yang, Ndapandula Nakashole, Bryan Kisiel, Emmanouil A Platanios, Abulhair Saparov, Shashank Srivastava, Derry Wijaya, Tom M Mitchell",2016/1/1,,,,,,"In this paper, we present an overview of the CMUML’s Micro-Reader system for three TAC KBP tasks: Cold Start Slot Filling (SF); Event Nugget Detection and Coreference (EN); and Event Argument Extraction and Linking (EAL). The Micro-Reader system is a result of the CMU NELL team’s research efforts on single-document understanding using background knowledge. It is a generalpurpose machine reading system that takes as input a text document and outputs spanlevel semantic annotations for document understanding. There are several reading components in the Micro-Reader, each having a different reading capability. For the SF task, we aggregate the outputs of different reading components to propose KB assertions that can be used to answer the SF queries. For the EN and EAL tasks, we mainly utilize the event reading component of the Micro-Reader, which performs joint inference of entities and events within a document context.",5회,"CMUML Micro-Reader System for KBP 2016 Cold Start Slot Filling, Event Nugget Detection, and Event Argument Linking.
B Yang, N Nakashole, B Kisiel, EA Platanios… - TAC, 2016
5회 인용 관련 학술자료 전체 2개의 버전",TAC,,,,,,,
Assuming facts are expressed more than once,"Justin Betteridge, Alan Ritter, Tom Mitchell",2014/5/3,,,,,,"Distant supervision (DS) is a method for training sentence-level information extraction models using only an unlabeled corpus and a knowledge base (KB). Fundamental to many DS approaches is the assumption that KB facts are expressed at least once (EALO) in the text corpus. Often, however, KB facts are actually expressed in the corpus many times, in which cases EALO-based systems underuse the available training data. To address this problem, we introduce the “expressed at least α percent”(EALA) assumption, which asserts that expressions of KB facts account for up to α% of the corresponding mentions. We show that for the same level of precision as the EALO approach, the EALA approach achieves up to 66% higher recall on category recognition and 53% higher recall on relation recognition.",5회,"Assuming facts are expressed more than once
J Betteridge, A Ritter, T Mitchell - The Twenty-Seventh International Flairs Conference, 2014
5회 인용 관련 학술자료 전체 3개의 버전",The Twenty-Seventh International Flairs Conference,,,,,,,
