제목,저자,게시 날짜,저널,권,호,페이지,게시자,설명,전체 인용횟수,학술 문서,컨퍼런스,도서,출처,기관
Replicated softmax: an undirected topic model,"Ruslan Salakhutdinov, Geoffrey Hinton",2009,,,,1607-1614,,"We introduce a two-layer undirected graphical model, called a “Replicated Softmax”, that can be used to model and automatically extract low-dimensional latent semantic representations from a large unstructured collection of documents. We present efficient learning and inference algorithms for this model, and show how a Monte-Carlo based method, Annealed Importance Sampling, can be used to produce an accurate estimate of the log-probability the model assigns to test data. This allows us to demonstrate that the proposed model is able to generalize much better compared to Latent Dirichlet Allocation in terms of both the log-probability of held-out documents and the retrieval accuracy.",580회,"Replicated softmax: an undirected topic model
GE Hinton, RR Salakhutdinov - Advances in neural information processing systems, 2009
580회 인용 관련 학술자료 전체 14개의 버전",Advances in neural information processing systems,,,
Action recognition using visual attention,"Shikhar Sharma, Ryan Kiros, Ruslan Salakhutdinov",2015/11/12,,,,,,"We propose a soft attention based model for the task of action recognition in videos. We use multi-layered Recurrent Neural Networks (RNNs) with Long Short-Term Memory (LSTM) units which are deep both spatially and temporally. Our model learns to focus selectively on parts of the video frames and classifies videos after taking a few glimpses. The model essentially learns which parts in the frames are relevant for the task at hand and attaches higher importance to them. We evaluate the model on UCF-11 (YouTube Action), HMDB-51 and Hollywood2 datasets and analyze how the model focuses its attention depending on the scene and the action being performed.",578회,"Action recognition using visual attention
S Sharma, R Kiros, R Salakhutdinov - arXiv preprint arXiv:1511.04119, 2015
578회 인용 관련 학술자료 전체 9개의 버전","International Conference on Learning Representations (ICLR) , workshop",,,
Hamming distance metric learning,"Mohammad Norouzi, David J Fleet, Russ R Salakhutdinov",2012,,,,1061-1069,,"Motivated by large-scale multimedia applications we propose to learn mappings from high-dimensional data to binary codes that preserve semantic similarity. Binary codes are well suited to large-scale applications as they are storage efficient and permit exact sub-linear kNN search. The framework is applicable to broad families of mappings, and uses a flexible form of triplet ranking loss. We overcome discontinuous optimization of the discrete mappings by minimizing a piecewise-smooth upper bound on empirical loss, inspired by latent structural SVMs. We develop a new loss-augmented inference algorithm that is quadratic in the code length. We show strong retrieval performance on CIFAR-10 and MNIST, with promising classification results using no more than kNN on the binary codes.",564회,"Hamming distance metric learning
M Norouzi, DJ Fleet, RR Salakhutdinov - Advances in neural information processing systems, 2012
564회 인용 관련 학술자료 전체 13개의 버전",Advances in neural information processing systems,,,
Deep learning for neuroimaging: a validation study,"Sergey M Plis, Devon R Hjelm, Ruslan Salakhutdinov, Elena A Allen, Henry J Bockholt, Jeffrey D Long, Hans J Johnson, Jane S Paulsen, Jessica A Turner, Vince D Calhoun",2014/8/20,Frontiers in neuroscience,8,,229,Frontiers,"Deep learning methods have recently made notable advances in the tasks of classification and representation learning. These tasks are important for brain imaging and neuroscience discovery, making the methods attractive for porting to a neuroimager's toolbox. Success of these methods is, in part, explained by the flexibility of deep learning models. However, this flexibility makes the process of porting to new areas a difficult parameter optimization problem. In this work we demonstrate our results (and feasible parameter ranges) in application of deep learning methods to structural and functional brain imaging data. These methods include deep belief networks and their building block the restricted Boltzmann machine. We also describe a novel constraint-based approach to visualizing high dimensional data. We use it to analyze the effect of parameter choices on data transformations. Our results show that deep learning methods are able to learn physiologically important representations and detect latent relations in neuroimaging data.",563회,"Deep learning for neuroimaging: a validation study
SM Plis, DR Hjelm, R Salakhutdinov, EA Allen… - Frontiers in neuroscience, 2014
563회 인용 관련 학술자료 전체 29개의 버전",,,,
One shot learning of simple visual concepts,"Brenden Lake, Ruslan Salakhutdinov, Jason Gross, Joshua Tenenbaum",2011,Proceedings of the annual meeting of the cognitive science society,33,33,,,"People can learn visual concepts from just one example, but it remains a mystery how this is accomplished. Many authors have proposed that transferred knowledge from more familiar concepts is a route to one shot learning, but what is the form of this abstract knowledge? One hypothesis is that the sharing of parts is core to one shot learning, and we evaluate this idea in the domain of handwritten characters, using a massive new dataset. These simple visual concepts have a rich internal part structure, yet they are particularly tractable for computational models. We introduce a generative model of how characters are composed from strokes, where knowledge from previous characters helps to infer the latent strokes in novel characters. The stroke model outperforms a competing stateof-the-art character model on a challenging one shot learning task, and it provides a good fit to human perceptual data.",529회,"One shot learning of simple visual concepts
B Lake, R Salakhutdinov, J Gross, J Tenenbaum - Proceedings of the annual meeting of the cognitive …, 2011
529회 인용 관련 학술자료 전체 18개의 버전",,,,
Efficient Learning of Deep Boltzmann Machines.,"Ruslan Salakhutdinov, Hugo Larochelle",2010/5,,,,693-700,,"We present a new approximate inference algorithm for Deep Boltzmann Machines (DBM’s), a generative model with many layers of hidden variables. The algorithm learns a separate “recognition” model that is used to quickly initialize, in a single bottom-up pass, the values of the latent variables in all hidden layers. We show that using such a recognition model, followed by a combined top-down and bottom-up pass, it is possible to efficiently learn a good generative model of high-dimensional highly-structured sensory input. We show that the additional computations required by incorporating a top-down feedback plays a critical role in the performance of a DBM, both as a generative and discriminative model. Moreover, inference is only at most three times slower compared to the approximate inference in a Deep Belief Network (DBN), making large-scale learning of DBM’s practical. Finally, we demonstrate that the DBM’s trained using the proposed approximate inference algorithm perform well compared to DBN’s and SVM’s on the MNIST handwritten digit, OCR English letters, and NORB visual object recognition tasks.",528회,"Efficient learning of deep Boltzmann machines
R Salakhutdinov, H Larochelle - Proceedings of the thirteenth international conference …, 2010
408회 인용 관련 학술자료 전체 19개의 버전
Proceedings of the thirteenth international conference on artificial intelligence and statistics*
X Glorot, Y Bengio, YW Teh, M Titterington - PMLR, 2010
123회 인용 관련 학술자료",International Conference on Artificial Intelligence and Statistics (AISTATS),,,
Learning a Nonlinear Embedding by Preserving Class Neighbourhood Structure.,"Ruslan Salakhutdinov, Geoffrey E Hinton",2007/3/21,,,,412-419,,"We show how to pretrain and fine-tune a multilayer neural network to learn a nonlinear transformation from the input space to a lowdimensional feature space in which K-nearest neighbour classification performs well. We also show how the non-linear transformation can be improved using unlabeled data. Our method achieves a much lower error rate than Support Vector Machines or standard backpropagation on a widely used version of the MNIST handwritten digit recognition task. If some of the dimensions of the low-dimensional feature space are not used for nearest neighbor classification, our method uses these dimensions to explicitly represent transformations of the digits that do not affect their identity.",527회,"Learning a nonlinear embedding by preserving class neighbourhood structure
R Salakhutdinov, G Hinton - Artificial Intelligence and Statistics, 2007
527회 인용 관련 학술자료 전체 19개의 버전",International Conference on Artificial Intelligence and Statistics (AISTATS),,,
On the quantitative analysis of deep belief networks,"Ruslan Salakhutdinov, Iain Murray",2008/7/5,,,,872-879,,"Deep Belief Networks (DBN's) are generative models that contain many layers of hidden variables. Efficient greedy algorithms for learning and approximate inference have allowed these models to be applied successfully in many application domains. The main building block of a DBN is a bipartite undirected graphical model called a restricted Boltzmann machine (RBM). Due to the presence of the partition function, model selection, complexity control, and exact maximum likelihood learning in RBM's are intractable. We show that Annealed Importance Sampling (AIS) can be used to efficiently estimate the partition function of an RBM, and we present a novel AIS scheme for comparing RBM's with different architectures. We further show how an AIS estimator, along with approximate inference, can be used to estimate a lower bound on the log-probability that a DBN model with multiple hidden layers assigns to the test …",486회,"On the quantitative analysis of deep belief networks
R Salakhutdinov, I Murray - Proceedings of the 25th international conference on …, 2008
486회 인용 관련 학술자료 전체 21개의 버전",,Proceedings of the 25th international conference on Machine learning,,
An efficient learning procedure for deep Boltzmann machines,"Ruslan Salakhutdinov, Geoffrey Hinton",2012/8,Neural computation,24,8,1967-2006,MIT Press,"We present a new learning algorithm for Boltzmann machines that contain many layers of hidden variables. Data-dependent statistics are estimated using a variational approximation that tends to focus on a single mode, and data-independent statistics are estimated using persistent Markov chains. The use of two quite different techniques for estimating the two types of statistic that enter into the gradient of the log likelihood makes it practical to learn Boltzmann machines with multiple hidden layers and millions of parameters. The learning can be made more efficient by using a layer-by-layer pretraining phase that initializes the weights sensibly. The pretraining also allows the variational inference to be initialized sensibly with a single bottom-up pass. We present results on the MNIST and NORB data sets showing that deep Boltzmann machines learn very good generative models of handwritten digits and 3D objects …",483회,"An efficient learning procedure for deep Boltzmann machines
R Salakhutdinov, G Hinton - Neural computation, 2012
483회 인용 관련 학술자료 전체 24개의 버전",,,,
"Hotpotqa: A dataset for diverse, explainable multi-hop question answering","Zhilin Yang, Peng Qi, Saizheng Zhang, Yoshua Bengio, William W Cohen, Ruslan Salakhutdinov, Christopher D Manning",2018/9/25,arXiv preprint arXiv:1809.09600,,,,,"Existing question answering (QA) datasets fail to train QA systems to perform complex reasoning and provide explanations for answers. We introduce HotpotQA, a new dataset with 113k Wikipedia-based question-answer pairs with four key features:(1) the questions require finding and reasoning over multiple supporting documents to answer;(2) the questions are diverse and not constrained to any pre-existing knowledge bases or knowledge schemas;(3) we provide sentence-level supporting facts required for reasoning, allowing QA systems to reason with strong supervision and explain the predictions;(4) we offer a new type of factoid comparison questions to test QA systems' ability to extract relevant facts and perform necessary comparison. We show that HotpotQA is challenging for the latest QA systems, and the supporting facts enable models to improve performance and make explainable predictions.",450회,"Hotpotqa: A dataset for diverse, explainable multi-hop question answering
Z Yang, P Qi, S Zhang, Y Bengio, WW Cohen… - arXiv preprint arXiv:1809.09600, 2018
450회 인용 관련 학술자료 전체 9개의 버전",,,,
Deep kernel learning,"Andrew Gordon Wilson, Zhiting Hu, Ruslan Salakhutdinov, Eric P Xing",2015/11/6,,,,,,"We introduce scalable deep kernels, which combine the structural properties of deep learning architectures with the non-parametric flexibility of kernel methods. Specifically, we transform the inputs of a spectral mixture base kernel with a deep architecture, using local kernel interpolation, inducing points, and structure exploiting (Kronecker and Toeplitz) algebra for a scalable kernel representation. These closed-form kernels can be used as drop-in replacements for standard kernels, with benefits in expressive power and scalability. We jointly learn the properties of these kernels through the marginal likelihood of a Gaussian process. Inference and learning cost O (n) for n training points, and predictions cost O (1) per test point. On a large and diverse collection of applications, including a dataset with 2 million examples, we show improved performance over scalable Gaussian processes with flexible kernel learning models, and stand-alone deep architectures.",400회,"Deep kernel learning
AG Wilson, Z Hu, R Salakhutdinov, EP Xing - Artificial intelligence and statistics, 2016
400회 인용 관련 학술자료 전체 12개의 버전",International Conference on Artificial Intelligence and Statistics (AISTATS),,,
Actor-mimic: Deep multitask and transfer reinforcement learning,"Emilio Parisotto, Jimmy Lei Ba, Ruslan Salakhutdinov",2015/11/19,,,,,,"The ability to act in multiple environments and transfer previous knowledge to new situations can be considered a critical aspect of any intelligent agent. Towards this goal, we define a novel method of multitask and transfer learning that enables an autonomous agent to learn how to behave in multiple tasks simultaneously, and then generalize its knowledge to new domains. This method, termed"" Actor-Mimic"", exploits the use of deep reinforcement learning and model compression techniques to train a single policy network that learns how to act in a set of distinct tasks by using the guidance of several expert teachers. We then show that the representations learnt by the deep policy network are capable of generalizing to new tasks with no prior expert guidance, speeding up learning in novel environments. Although our method can in general be applied to a wide range of problems, we use Atari games as a testing environment to demonstrate these methods.",372회,"Actor-mimic: Deep multitask and transfer reinforcement learning
E Parisotto, JL Ba, R Salakhutdinov - arXiv preprint arXiv:1511.06342, 2015
372회 인용 관련 학술자료 전체 3개의 버전",International Conference on Learning Representations (ICLR),,,
Learning deep generative models,Ruslan Salakhutdinov,2015/4/10,,2,,361-385,Annual Reviews,"Building intelligent systems that are capable of extracting high-level representations from high-dimensional sensory data lies at the core of solving many artificial intelligence–related tasks, including object recognition, speech perception, and language understanding. Theoretical and biological arguments strongly suggest that building such systems requires models with deep architectures that involve many layers of nonlinear processing. In this article, we review several popular deep learning models, including deep belief networks and deep Boltzmann machines. We show that (a) these deep generative models, which contain many layers of latent variables and millions of parameters, can be learned efficiently, and (b) the learned high-level feature representations can be successfully applied in many application domains, including visual object recognition, information retrieval, classification, and regression tasks.",348회,"Learning deep generative models
R Salakhutdinov - Annual Review of Statistics and Its Application, 2015
348회 인용 관련 학술자료 전체 24개의 버전",,,Annual Review of Statistics and Its Application,
Multimodal learning with deep Boltzmann machines.,"Nitish Srivastava, Ruslan Salakhutdinov",2014/10/1,J. Mach. Learn. Res.,15,1,2949-2980,,"Data often consists of multiple diverse modalities. For example, images are tagged with textual information and videos are accompanied by audio. Each modality is characterized by having distinct statistical properties. We propose a Deep Boltzmann Machine for learning a generative model of such multimodal data. We show that the model can be used to create fused representations by combining features across modalities. These learned representations are useful for classification and information retrieval. By sampling from the conditional distributions over each data modality, it is possible to create these representations even when some data modalities are missing. We conduct experiments on bi-modal image-text and audio-video data. The fused representation achieves good classification results on the MIR-Flickr data set matching or outperforming other deep models as well as SVM based models that use Multiple Kernel Learning. We further demonstrate that this multimodal model helps classification and retrieval even when only unimodal data is available at test time.",348회,"Multimodal learning with deep Boltzmann machines.
N Srivastava, R Salakhutdinov - J. Mach. Learn. Res., 2014
348회 인용 관련 학술자료 전체 15개의 버전",,,,
Predicting deep zero-shot convolutional neural networks using textual descriptions,"Jimmy Lei Ba, Kevin Swersky, Sanja Fidler",2015,,,,4247-4255,,"One of the main challenges in Zero-Shot Learning of visual categories is gathering semantic attributes to accompany images. Recent work has shown that learning from textual descriptions, such as Wikipedia articles, avoids the problem of having to explicitly define these attributes. We present a new model that can classify unseen categories from their textual description. Specifically, we use text features to predict the output weights of both the convolutional and the fully connected layers in a deep convolutional neural network (CNN). We take advantage of the architecture of CNNs and learn features at different layers, rather than just learning an embedding space for both modalities, as is common with existing approaches. The proposed model also allows us to automatically generate a list of pseudo-attributes for each visual category consisting of words from Wikipedia articles. We train our models end-to-end using the Caltech-UCSD bird and flower datasets and evaluate both ROC and Precision-Recall curves. Our empirical results show that the proposed model significantly outperforms previous methods.",347회,"Predicting deep zero-shot convolutional neural networks using textual descriptions
J Lei Ba, K Swersky, S Fidler - Proceedings of the IEEE International Conference on …, 2015
347회 인용 관련 학술자료 전체 12개의 버전",Proceedings of the IEEE International Conference on Computer Vision,,,
Gated-attention readers for text comprehension,"Bhuwan Dhingra, Hanxiao Liu, Zhilin Yang, William W Cohen, Ruslan Salakhutdinov",2016/6/5,arXiv preprint arXiv:1606.01549,,,,,"In this paper we study the problem of answering cloze-style questions over documents. Our model, the Gated-Attention (GA) Reader, integrates a multi-hop architecture with a novel attention mechanism, which is based on multiplicative interactions between the query embedding and the intermediate states of a recurrent neural network document reader. This enables the reader to build query-specific representations of tokens in the document for accurate answer selection. The GA Reader obtains state-of-the-art results on three benchmarks for this task--the CNN\& Daily Mail news stories and the Who Did What dataset. The effectiveness of multiplicative interaction is demonstrated by an ablation study, and by comparing to alternative compositional operators for implementing the gated-attention. The code is available at this https URL.",341회,"Gated-attention readers for text comprehension
B Dhingra, H Liu, Z Yang, WW Cohen, R Salakhutdinov - arXiv preprint arXiv:1606.01549, 2016
341회 인용 관련 학술자료 전체 10개의 버전",,,,
Good semi-supervised learning that requires a bad gan,"Zihang Dai, Zhilin Yang, Fan Yang, William W Cohen, Ruslan Salakhutdinov",2017/5/27,arXiv preprint arXiv:1705.09783,,,,,"Semi-supervised learning methods based on generative adversarial networks (GANs) obtained strong empirical results, but it is not clear 1) how the discriminator benefits from joint training with a generator, and 2) why good semi-supervised classification performance and a good generator cannot be obtained at the same time. Theoretically, we show that given the discriminator objective, good semisupervised learning indeed requires a bad generator, and propose the definition of a preferred generator. Empirically, we derive a novel formulation based on our analysis that substantially improves over feature matching GANs, obtaining state-of-the-art results on multiple benchmark datasets.",307회,"Good semi-supervised learning that requires a bad gan
Z Dai, Z Yang, F Yang, WW Cohen, R Salakhutdinov - arXiv preprint arXiv:1705.09783, 2017
307회 인용 관련 학술자료 전체 8개의 버전",,,,
Learning to share visual appearance for multiclass object detection,"Ruslan Salakhutdinov, Antonio Torralba, Josh Tenenbaum",2011/6/20,,,,1481-1488,IEEE,"We present a hierarchical classification model that allows rare objects to borrow statistical strength from related objects that have many training examples. Unlike many of the existing object detection and recognition systems that treat different classes as unrelated entities, our model learns both a hierarchy for sharing visual appearance across 200 object categories and hierarchical parameters. Our experimental results on the challenging object localization and detection task demonstrate that the proposed model substantially improves the accuracy of the standard single object detectors that ignore hierarchical structure altogether.",296회,"Learning to share visual appearance for multiclass object detection
R Salakhutdinov, A Torralba, J Tenenbaum - CVPR 2011, 2011
296회 인용 관련 학술자료 전체 11개의 버전",CVPR 2011,,,
On exact computation with an infinitely wide neural net,"Sanjeev Arora, Simon S Du, Wei Hu, Zhiyuan Li, Ruslan Salakhutdinov, Ruosong Wang",2019/4/26,arXiv preprint arXiv:1904.11955,,,,,"How well does a classic deep net architecture like AlexNet or VGG19 classify on a standard dataset such as CIFAR-10 when its width---namely, number of channels in convolutional layers, and number of nodes in fully-connected internal layers---is allowed to increase to infinity? Such questions have come to the forefront in the quest to theoretically understand deep learning and its mysteries about optimization and generalization. They also connect deep learning to notions such as Gaussian processes and kernels. A recent paper [Jacot et al., 2018] introduced the Neural Tangent Kernel (NTK) which captures the behavior of fully-connected deep nets in the infinite width limit trained by gradient descent; this object was implicit in some other recent papers. An attraction of such ideas is that a pure kernel-based method is used to capture the power of a fully-trained deep net of infinite width.
The current paper gives the first efficient exact algorithm for computing the extension of NTK to convolutional neural nets, which we call Convolutional NTK (CNTK), as well as an efficient GPU implementation of this algorithm. This results in a significant new benchmark for the performance of a pure kernel-based method on CIFAR-10, being higher than the methods reported in [Novak et al., 2019], and only lower than the performance of the corresponding finite deep net architecture (once batch normalization, etc. are turned off). Theoretically, we also give the first non-asymptotic proof showing that a fully-trained sufficiently wide net is indeed equivalent to the kernel regression predictor using NTK.",289회,"On exact computation with an infinitely wide neural net
S Arora, SS Du, W Hu, Z Li, R Salakhutdinov, R Wang - arXiv preprint arXiv:1904.11955, 2019
289회 인용 관련 학술자료 전체 6개의 버전",,,,
"Encode, Review, and Decode: Reviewer Module for Caption Generation","Zhilin Yang, Ye Yuan, Yuexin Wu, Ruslan Salakhutdinov, William W Cohen",2016/5/25,NIPS 2016,,,,,,280회,"Review networks for caption generation*
Z Yang, Y Yuan, Y Wu, R Salakhutdinov, WW Cohen - arXiv preprint arXiv:1605.07912, 2016
210회 인용 관련 학술자료 전체 7개의 버전
Encode, review, and decode: Reviewer module for caption generation*
Z Wu, R Cohen - arXiv preprint arXiv:1605.07912, 2016
72회 인용 관련 학술자료",,,,
Generating images from captions with attention,"Elman Mansimov, Emilio Parisotto, Jimmy Lei Ba, Ruslan Salakhutdinov",2015/11/9,,,,,,"Motivated by the recent progress in generative models, we introduce a model that generates images from natural language descriptions. The proposed model iteratively draws patches on a canvas, while attending to the relevant words in the description. After training on Microsoft COCO, we compare our model with several baseline generative models on image generation and retrieval tasks. We demonstrate that our model produces higher quality samples than other approaches and generates images with novel scene compositions corresponding to previously unseen captions in the dataset.",278회,"Generating images from captions with attention
E Mansimov, E Parisotto, JL Ba, R Salakhutdinov - arXiv preprint arXiv:1511.02793, 2015
278회 인용 관련 학술자료 전체 15개의 버전",International Conference on Learning Representations (ICLR),,,
Transfer learning for sequence tagging with hierarchical recurrent networks,"Zhilin Yang, Ruslan Salakhutdinov, William W Cohen",2017/3/18,arXiv preprint arXiv:1703.06345,,,,,"Recent papers have shown that neural networks obtain state-of-the-art performance on several different sequence tagging tasks. One appealing property of such systems is their generality, as excellent performance can be achieved with a unified architecture and without task-specific feature engineering. However, it is unclear if such systems can be used for tasks without large amounts of training data. In this paper we explore the problem of transfer learning for neural sequence taggers, where a source task with plentiful annotations (eg, POS tagging on Penn Treebank) is used to improve performance on a target task with fewer available annotations (eg, POS tagging for microblogs). We examine the effects of transfer learning for deep hierarchical recurrent networks across domains, applications, and languages, and show that significant improvement can often be obtained. These improvements lead to improvements over the current state-of-the-art on several well-studied tasks.",275회,"Transfer learning for sequence tagging with hierarchical recurrent networks
Z Yang, R Salakhutdinov, WW Cohen - arXiv preprint arXiv:1703.06345, 2017
275회 인용 관련 학술자료 전체 7개의 버전",,,,
Modelling relational data using bayesian clustered tensor factorization,"Ilya Sutskever, Ruslan R Salakhutdinov, Joshua B Tenenbaum",2009,,,,,Neural Information Processing Systems Foundation,"We consider the problem of learning probabilistic models for complex relational structures between various types of objects. A model can help us ""understand"" a dataset of relational facts in at least two ways, by finding interpretable structure in the data, and by supporting predictions, or inferences about whether particular unobserved relations are likely to be true. Often there is a tradeoff between these two aims: cluster-based models yield more easily interpretable representations, while factorization-based approaches have given better predictive performance on large data sets. We introduce the Bayesian Clustered Tensor Factorization (BCTF) model, which embeds a factorized representation of relations in a nonparametric Bayesian clustering framework. Inference is fully Bayesian but scales well to large data sets. The model simultaneously discovers interpretable clusters and yields predictive performance that matches or beats previous probabilistic models for relational data.",275회,"Modelling relational data using bayesian clustered tensor factorization
I Sutskever, RR Salakhutdinov, JB Tenenbaum - 2009
275회 인용 관련 학술자료 전체 20개의 버전",,,,
Breaking the softmax bottleneck: A high-rank RNN language model,"Zhilin Yang, Zihang Dai, Ruslan Salakhutdinov, William W Cohen",2017/11/10,arXiv preprint arXiv:1711.03953,,,,,"We formulate language modeling as a matrix factorization problem, and show that the expressiveness of Softmax-based models (including the majority of neural language models) is limited by a Softmax bottleneck. Given that natural language is highly context-dependent, this further implies that in practice Softmax with distributed word embeddings does not have enough capacity to model natural language. We propose a simple and effective method to address this issue, and improve the state-of-the-art perplexities on Penn Treebank and WikiText-2 to 47.69 and 40.68 respectively. The proposed method also excels on the large-scale 1B Word dataset, outperforming the baseline by over 5.6 points in perplexity.",265회,"Breaking the softmax bottleneck: A high-rank RNN language model
Z Yang, Z Dai, R Salakhutdinov, WW Cohen - arXiv preprint arXiv:1711.03953, 2017
265회 인용 관련 학술자료 전체 4개의 버전",,,,
Semantic hashing,"Ruslan Salakhutdinov, Geoffrey Hinton",2007/7,,1,1,8,,"We show how to learn a deep graphical model of the word-count vectors obtained from a large set of documents. The values of the latent variables in the deepest layer are easy to infer and give a much better representation of each document than Latent Semantic Analysis. When the deepest layer is forced to use a small number of binary variables (eg 32), the graphical model performs “semantic hashing”: Documents are mapped to memory addresses in such a way that semantically similar documents are located at nearby addresses. Documents similar to a query document can then be found by simply accessing all the addresses that differ by only a few bits from the address of the query document. This way of extending the efficiency of hash-coding to approximate matching is much faster than locality sensitive hashing, which is the fastest current method. By using semantic hashing to filter the documents given to TF-IDF, we achieve higher accuracy than applying TF-IDF to the entire document set.",257회,"Semantic hashing
R Salakhutdinov, G Hinton - RBM, 2007
257회 인용 관련 학술자료 전체 17개의 버전",SIGIR workshop on Information Retrieval and applications of Graphical Models,,,
Multi-task neural networks for QSAR predictions,"George E Dahl, Navdeep Jaitly, Ruslan Salakhutdinov",2014/6/4,arXiv preprint arXiv:1406.1231,,,,,"Although artificial neural networks have occasionally been used for Quantitative Structure-Activity/Property Relationship (QSAR/QSPR) studies in the past, the literature has of late been dominated by other machine learning techniques such as random forests. However, a variety of new neural net techniques along with successful applications in other domains have renewed interest in network approaches. In this work, inspired by the winning team's use of neural networks in a recent QSAR competition, we used an artificial neural network to learn a function that predicts activities of compounds for multiple assays at the same time. We conducted experiments leveraging recent methods for dealing with overfitting in neural networks as well as other tricks from the neural networks literature. We compared our methods to alternative methods reported to perform well on these tasks and found that our neural net methods provided superior performance.",253회,"Multi-task neural networks for QSAR predictions
GE Dahl, N Jaitly, R Salakhutdinov - arXiv preprint arXiv:1406.1231, 2014
253회 인용 관련 학술자료 전체 8개의 버전",,,,
Learning with hierarchical-deep models,"Ruslan Salakhutdinov, Joshua B Tenenbaum, Antonio Torralba",2012/12/20,IEEE transactions on pattern analysis and machine intelligence,35,8,1958-1971,IEEE,"We introduce HD (or “Hierarchical-Deep”) models, a new compositional learning architecture that integrates deep learning models with structured hierarchical Bayesian (HB) models. Specifically, we show how we can learn a hierarchical Dirichlet process (HDP) prior over the activities of the top-level features in a deep Boltzmann machine (DBM). This compound HDP-DBM model learns to learn novel concepts from very few training example by learning low-level generic features, high-level features that capture correlations among low-level features, and a category hierarchy for sharing priors over the high-level features that are typical of different kinds of concepts. We present efficient learning and inference algorithms for the HDP-DBM model and show that it is able to learn new concepts from very few examples on CIFAR-100 object recognition, handwritten character recognition, and human motion capture datasets.",251회,"Learning with hierarchical-deep models
R Salakhutdinov, JB Tenenbaum, A Torralba - IEEE transactions on pattern analysis and machine …, 2012
251회 인용 관련 학술자료 전체 15개의 버전",,,,
Collaborative filtering in a non-uniform world: Learning with the weighted trace norm,"Ruslan Salakhutdinov, Nathan Srebro",2010/2/14,arXiv preprint arXiv:1002.2780,,,,,We show that matrix completion with trace-norm regularization can be significantly hurt when entries of the matrix are sampled non-uniformly. We introduce a weighted version of the trace-norm regularizer that works well also with non-uniform sampling. Our experimental results demonstrate that the weighted trace-norm regularization indeed yields significant gains on the (highly non-uniformly sampled) Netflix dataset.,243회,"Collaborative filtering in a non-uniform world: Learning with the weighted trace norm
R Salakhutdinov, N Srebro - arXiv preprint arXiv:1002.2780, 2010
243회 인용 관련 학술자료 전체 18개의 버전",,,,
Improved variational autoencoders for text modeling using dilated convolutions,"Zichao Yang, Zhiting Hu, Ruslan Salakhutdinov, Taylor Berg-Kirkpatrick",2017/7/17,,,,3881-3890,PMLR,"Recent work on generative text modeling has found that variational autoencoders (VAE) with LSTM decoders perform worse than simpler LSTM language models (Bowman et al., 2015). This negative result is so far poorly understood, but has been attributed to the propensity of LSTM decoders to ignore conditioning information from the encoder. In this paper, we experiment with a new type of decoder for VAE: a dilated CNN. By changing the decoder’s dilation architecture, we control the size of context from previously generated words. In experiments, we find that there is a trade-off between contextual capacity of the decoder and effective use of encoding information. We show that when carefully managed, VAEs can outperform LSTM language models. We demonstrate perplexity gains on two datasets, representing the first positive language modeling result with VAE. Further, we conduct an in-depth investigation of the use of VAE (with our new decoding architecture) for semi-supervised and unsupervised labeling tasks, demonstrating gains over several strong baselines.",241회,"Improved variational autoencoders for text modeling using dilated convolutions
Z Yang, Z Hu, R Salakhutdinov, T Berg-Kirkpatrick - International conference on machine learning, 2017
241회 인용 관련 학술자료 전체 6개의 버전",International conference on machine learning,,,
Style transfer through back-translation,"Shrimai Prabhumoye, Yulia Tsvetkov, Ruslan Salakhutdinov, Alan W Black",2018/4/24,arXiv preprint arXiv:1804.09000,,,,,"Style transfer is the task of rephrasing the text to contain specific stylistic properties without changing the intent or affect within the context. This paper introduces a new method for automatic style transfer. We first learn a latent representation of the input sentence which is grounded in a language translation model in order to better preserve the meaning of the sentence while reducing stylistic properties. Then adversarial generation techniques are used to make the output match the desired style. We evaluate this technique on three different style transformations: sentiment, gender and political slant. Compared to two state-of-the-art style transfer modeling techniques we show improvements both in automatic evaluation of style transfer and in manual evaluation of meaning preservation and fluency.",235회,"Style transfer through back-translation
S Prabhumoye, Y Tsvetkov, R Salakhutdinov, AW Black - arXiv preprint arXiv:1804.09000, 2018
235회 인용 관련 학술자료 전체 11개의 버전",,,,
Using deep belief nets to learn covariance kernels for Gaussian processes,"Ruslan Salakhutdinov, Geoffrey Hinton",2008,,,,1249-1256,,"We show how to use unlabeled data and a deep belief net (DBN) to learn a good covariance kernel for a Gaussian process. We first learn a deep generative model of the unlabeled data using the fast, greedy algorithm introduced by [7]. If the data is high-dimensional and highly-structured, a Gaussian kernel applied to the top layer of features in the DBN works much better than a similar kernel applied to the raw input. Performance at both regression and classification can then be further improved by using backpropagation through the DBN to discriminatively fine-tune the covariance kernel.",230회,"Using Deep Belief Nets to Learn Covariance Kernels for Gaussian Processes.
R Salakhutdinov, GE Hinton - NIPS, 2007
230회 인용 관련 학술자료 전체 19개의 버전",Advances in neural information processing systems,,,
