제목,저자,게시 날짜,저널,권,호,페이지,게시자,설명,전체 인용횟수,학술 문서,컨퍼런스,도서,출처,기관,발명자,특허청,출원번호,특허 번호
Data-Dependent Path Normalization in Neural Networks,"Behnam Neyshabur, Ryota Tomioka, Ruslan Salakhutdinov, Nathan Srebro",2015/11/20,,,,,,"We propose a unified framework for neural net normalization, regularization and optimization, which includes Path-SGD and Batch-Normalization and interpolates between them across two different dimensions. Through this framework we investigate issue of invariance of the optimization, data dependence and the connection with natural gradients.",20회,"Data-dependent path normalization in neural networks
B Neyshabur, R Tomioka, R Salakhutdinov, N Srebro - arXiv preprint arXiv:1511.06747, 2015
20회 인용 관련 학술자료 전체 3개의 버전",International Conference on Learning Representations (ICLR),,,,,,,
Politeness transfer: A tag and generate approach,"Aman Madaan, Amrith Setlur, Tanmay Parekh, Barnabas Poczos, Graham Neubig, Yiming Yang, Ruslan Salakhutdinov, Alan W Black, Shrimai Prabhumoye",2020/4/29,arXiv preprint arXiv:2004.14257,,,,,"This paper introduces a new task of politeness transfer which involves converting non-polite sentences to polite sentences while preserving the meaning. We also provide a dataset of more than 1.39 instances automatically labeled for politeness to encourage benchmark evaluations on this new task. We design a tag and generate pipeline that identifies stylistic attributes and subsequently generates a sentence in the target style while preserving most of the source content. For politeness as well as five other transfer tasks, our model outperforms the state-of-the-art methods on automatic metrics for content preservation, with a comparable or better performance on style transfer accuracy. Additionally, our model surpasses existing methods on human evaluations for grammaticality, meaning preservation and transfer accuracy across all the six style transfer tasks. The data and code is located at this https URL.",19회,"Politeness transfer: A tag and generate approach
A Madaan, A Setlur, T Parekh, B Poczos, G Neubig… - arXiv preprint arXiv:2004.14257, 2020
19회 인용 관련 학술자료 전체 4개의 버전",,,,,,,,
A closer look at accuracy vs. robustness,"Yao-Yuan Yang, Cyrus Rashtchian, Hongyang Zhang, Ruslan Salakhutdinov, Kamalika Chaudhuri",2020/3/5,Advances in Neural Information Processing Systems,33,,,,"Current methods for training robust networks lead to a drop in test accuracy, which has led prior works to posit that a robustness-accuracy tradeoff may be inevitable in deep learning. We take a closer look at this phenomenon and first show that real image datasets are actually separated. With this property in mind, we then prove that robustness and accuracy should both be achievable for benchmark datasets through locally Lipschitz functions, and hence, there should be no inherent tradeoff between robustness and accuracy. Through extensive experiments with robustness methods, we argue that the gap between theory and practice arises from two limitations of current methods: either they fail to impose local Lipschitzness or they are insufficiently generalized. We explore combining dropout with robust training methods and obtain better generalization. We conclude that achieving robustness and accuracy in practice may require using methods that impose local Lipschitzness and augmenting them with deep learning generalization techniques. 1",18회,"A closer look at accuracy vs. robustness
YY Yang, C Rashtchian, H Zhang, R Salakhutdinov… - Advances in Neural Information Processing Systems, 2020
18회 인용 관련 학술자료 전체 4개의 버전",,,,,,,,
Transformer-xl: Language modeling with longer-term dependency,"Zihang Dai, Zhilin Yang, Yiming Yang, William W Cohen, Jaime Carbonell, Quoc V Le, Ruslan Salakhutdinov",2018/9/27,,,,,,"We propose a novel neural architecture, Transformer-XL, for modeling longer-term dependency. To address the limitation of fixed-length contexts, we introduce a notion of recurrence by reusing the representations from the history. Empirically, we show state-of-the-art (SoTA) results on both word-level and character-level language modeling datasets, including WikiText-103, One Billion Word, Penn Treebank, and enwiki8. Notably, we improve the SoTA results from 1.06 to 0.99 in bpc on enwiki8, from 33.0 to 18.9 in perplexity on WikiText-103, and from 28.0 to 23.5 in perplexity on One Billion Word. Performance improves when the attention length increases during evaluation, and our best model attends to up to 1,600 words and 3,800 characters. To quantify the effective length of dependency, we devise a new metric and show that on WikiText-103 Transformer-XL manages to model dependency that is about 80 …",18회,"Transformer-xl: Language modeling with longer-term dependency
Z Dai, Z Yang, Y Yang, WW Cohen, J Carbonell, QV Le… - 2018
18회 인용 관련 학술자료 전체 2개의 버전",,,,,,,,
Bayesian probabilistic matrix factorization using MCMC,"Ruslan Salakhutdinov, Andriy Mnih",2008,Proceedings of the International Conference in Machine Learning,,,872-879,,"Page 1. BAYESIAN PROBABILISTIC MATRIX FACTORIZATION USING MCMC Ruslan Salakhutdinov joint work Andriy Mnih Machine Learning, University of Toronto 1 Page 2. Preliminaries 1 2 3 4 5 6 7 ... 1 2 3 4 5 6 7 ... 5 3 ? 1 ... 3 ? 4 ? 3 2 ... ~ R U V User Features Features Movie • Suppose we have M movies, N users, and integer rating values from 1 to K. • Let Rij be the rating of user i for movie j, and U ∈ R D×N, V ∈ R D×M be latent user and movie feature matrices. • We will use Ui and Vj to denote the latent feature vectors for user i and movie j respectively. 2 Page 3. Probabilistic Matrix Factorization (PMF) U Vj i R ij j=1,...,M i=1,...,N V σ U σ σ • PMF is a simple probabilistic linear model with Gaussian observation noise. • Given the feature vectors for the user and the movie, the distribution of the corresponding rating is: p(Rij|Ui, Vj, σ 2 ) = N(Rij|U T i Vj, σ 2 ). • The user and movie feature vectors …",17회,"Bayesian probabilistic matrix factorization using MCMC
R Salakhutdinov, A Mnih - Proceedings of the International Conference in …, 2008
17회 인용 관련 학술자료 전체 3개의 버전",,,,,,,,
Worst cases policy gradients,"Yichuan Charlie Tang, Jian Zhang, Ruslan Salakhutdinov",2019/11/9,arXiv preprint arXiv:1911.03618,,,,,"Recent advances in deep reinforcement learning have demonstrated the capability of learning complex control policies from many types of environments. When learning policies for safety-critical applications, it is essential to be sensitive to risks and avoid catastrophic events. Towards this goal, we propose an actor-critic framework that models the uncertainty of the future and simultaneously learns a policy based on that uncertainty model. Specifically, given a distribution of the future return for any state and action, we optimize policies for varying levels of conditional Value-at-Risk. The learned policy can map the same state to different actions depending on the propensity for risk. We demonstrate the effectiveness of our approach in the domain of driving simulations, where we learn maneuvers in two scenarios. Our learned controller can dynamically select actions along a continuous axis, where safe and conservative behaviors are found at one end while riskier behaviors are found at the other. Finally, when testing with very different simulation parameters, our risk-averse policies generalize significantly better compared to other reinforcement learning approaches.",16회,"Worst cases policy gradients
YC Tang, J Zhang, R Salakhutdinov - arXiv preprint arXiv:1911.03618, 2019
16회 인용 관련 학술자료 전체 3개의 버전",,,,,,,,
Connecting the dots between MLE and RL for sequence generation,"Bowen Tan, Zhiting Hu, Zichao Yang, Ruslan Salakhutdinov, Eric P Xing",2018/9/27,,,,,,"Sequence generation models such as recurrent networks can be trained with a diverse set of learning algorithms. For example, maximum likelihood learning is simple and efficient, yet suffers from the exposure bias problem. Reinforcement learning like policy gradient addresses the problem but can have prohibitively poor exploration efficiency. A variety of other algorithms such as RAML, SPG, and data noising, have also been developed in different perspectives. This paper establishes a formal connection between these algorithms. We present a generalized entropy regularized policy optimization formulation, and show that the apparently divergent algorithms can all be reformulated as special instances of the framework, with the only difference being the configurations of reward function and a couple of hyperparameters. The unified interpretation offers a systematic view of the varying properties of exploration and learning efficiency. Besides, based on the framework, we present a new algorithm that dynamically interpolates among the existing algorithms for improved learning. Experiments on machine translation and text summarization demonstrate the superiority of the proposed algorithm.",16회,"Connecting the dots between MLE and RL for sequence generation
B Tan, Z Hu, Z Yang, R Salakhutdinov, EP Xing - 2018
16회 인용 관련 학술자료 전체 4개의 버전",,,,,,,,
Normalized gradient with adaptive stepsize method for deep neural network training,"Adams Wei Yu, Qihang Lin, Ruslan Salakhutdinov, Jaime Carbonell",2017/1/1,arXiv preprint arXiv:1707.04822,1,1,,,"In this paper, we propose a generic and simple algorithmic framework for first order optimization. The framework essentially contains two consecutive steps in each iteration: 1) computing and normalizing the mini-batch stochastic gradient; 2) selecting adaptive step size to update the decision variable (parameter) towards the negative of the normalized gradient. We show that the proposed approach, when customized to the popular adaptive stepsize methods, such as AdaGrad, can enjoy a sublinear convergence rate, if the objective is convex. We also conduct extensive empirical studies on various non-convex neural network optimization problems, including multi layer perceptron, convolution neural networks and recurrent neural networks. The results indicate the normalized gradient with adaptive step size can help accelerate the training of neural networks. In particular, significant speedup can be observed if the networks are deep or the dependencies are long.",16회,"Normalized gradient with adaptive stepsize method for deep neural network training
AW Yu, Q Lin, R Salakhutdinov, J Carbonell - arXiv preprint arXiv:1707.04822, 2017
16회 인용 관련 학술자료 전체 2개의 버전",,,,,,,,
Towards debiasing sentence representations,"Paul Pu Liang, Irene Mengze Li, Emily Zheng, Yao Chong Lim, Ruslan Salakhutdinov, Louis-Philippe Morency",2020/7/16,arXiv preprint arXiv:2007.08100,,,,,"As natural language processing methods are increasingly deployed in real-world scenarios such as healthcare, legal systems, and social science, it becomes necessary to recognize the role they potentially play in shaping social biases and stereotypes. Previous work has revealed the presence of social biases in widely used word embeddings involving gender, race, religion, and other social constructs. While some methods were proposed to debias these word-level embeddings, there is a need to perform debiasing at the sentence-level given the recent shift towards new contextualized sentence representations such as ELMo and BERT. In this paper, we investigate the presence of social biases in sentence-level representations and propose a new method, Sent-Debias, to reduce these biases. We show that Sent-Debias is effective in removing biases, and at the same time, preserves performance on sentence-level downstream tasks such as sentiment analysis, linguistic acceptability, and natural language understanding. We hope that our work will inspire future research on characterizing and removing social biases from widely adopted sentence representations for fairer NLP.",15회,"Towards debiasing sentence representations
PP Liang, IM Li, E Zheng, YC Lim, R Salakhutdinov… - arXiv preprint arXiv:2007.08100, 2020
15회 인용 관련 학술자료 전체 4개의 버전",,,,,,,,
On reward-free reinforcement learning with linear function approximation,"Ruosong Wang, Simon S Du, Lin F Yang, Ruslan Salakhutdinov",2020/6/19,arXiv preprint arXiv:2006.11274,,,,,"Reward-free reinforcement learning (RL) is a framework which is suitable for both the batch RL setting and the setting where there are many reward functions of interest. During the exploration phase, an agent collects samples without using a pre-specified reward function. After the exploration phase, a reward function is given, and the agent uses samples collected during the exploration phase to compute a near-optimal policy. Jin et al.[2020] showed that in the tabular setting, the agent only needs to collect polynomial number of samples (in terms of the number states, the number of actions, and the planning horizon) for reward-free RL. However, in practice, the number of states and actions can be large, and thus function approximation schemes are required for generalization. In this work, we give both positive and negative results for reward-free RL with linear function approximation. We give an algorithm for reward-free RL in the linear Markov decision process setting where both the transition and the reward admit linear representations. The sample complexity of our algorithm is polynomial in the feature dimension and the planning horizon, and is completely independent of the number of states and actions. We further give an exponential lower bound for reward-free RL in the setting where only the optimal -function admits a linear representation. Our results imply several interesting exponential separations on the sample complexity of reward-free RL.",15회,"On reward-free reinforcement learning with linear function approximation
R Wang, SS Du, LF Yang, R Salakhutdinov - arXiv preprint arXiv:2006.11274, 2020
15회 인용 관련 학술자료 전체 2개의 버전",,,,,,,,
Reinforcement learning with general value function approximation: Provably efficient approach via bounded eluder dimension,"Ruosong Wang, Russ R Salakhutdinov, Lin Yang",2020,Advances in Neural Information Processing Systems,33,,,,"Value function approximation has demonstrated phenomenal empirical success in reinforcement learning (RL). Nevertheless, despite a handful of recent progress on developing theory for RL with linear function approximation, the understanding of\emph {general} function approximation schemes largely remains missing. In this paper, we establish the first provably efficient RL algorithm with general value function approximation. We show that if the value functions admit an approximation with a function class , our algorithm achieves a regret bound of where is a complexity measure of that depends on the eluder dimension~[Russo and Van Roy, 2013] and log-covering numbers, is the planning horizon, and is the number interactions with the environment. Our theory generalizes the linear MDP assumption to general function classes. Moreover, our algorithm is model-free and provides a …",15회,"Reinforcement learning with general value function approximation: Provably efficient approach via bounded eluder dimension
R Wang, RR Salakhutdinov, L Yang - Advances in Neural Information Processing Systems, 2020
15회 인용 관련 학술자료 전체 2개의 버전",,,,,,,,
Deep neural networks with multi-branch architectures are intrinsically less non-convex,"Hongyang Zhang, Junru Shao, Ruslan Salakhutdinov",2019/4/11,,,,1099-1109,PMLR,"Several recently proposed architectures of neural networks such as ResNeXt, Inception, Xception, SqueezeNet and Wide ResNet are based on the designing idea of having multiple branches and have demonstrated improved performance in many applications. We show that one cause for such success is due to the fact that the multi-branch architecture is less non-convex in terms of duality gap. The duality gap measures the degree of intrinsic non-convexity of an optimization problem: smaller gap in relative value implies lower degree of intrinsic non-convexity. The challenge is to quantitatively measure the duality gap of highly non-convex problems such as deep neural networks. In this work, we provide strong guarantees of this quantity for two classes of network architectures. For the neural networks with arbitrary activation functions, multi-branch architecture and a variant of hinge loss, we show that the duality gap of both population and empirical risks shrinks to zero as the number of branches increases. This result sheds light on better understanding the power of over-parametrization where increasing the number of branches tends to make the loss surface less non-convex. For the neural networks with linear activation function and loss, we show that the duality gap of empirical risk is zero. Our two results work for arbitrary depths, while the analytical techniques might be of independent interest to non-convex optimization more broadly. Experiments on both synthetic and real-world datasets validate our results.",15회,"Deep neural networks with multi-branch architectures are intrinsically less non-convex
H Zhang, J Shao, R Salakhutdinov - The 22nd International Conference on Artificial …, 2019
15회 인용 관련 학술자료 전체 2개의 버전",The 22nd International Conference on Artificial Intelligence and Statistics,,,,,,,
Glomo: Unsupervised learning of transferable relational graphs,"Zhilin Yang, Jake Junbo Zhao, Bhuwan Dhingra, Kaiming He, William W Cohen, Ruslan Salakhutdinov, Yann LeCun",2018/12/3,,,,8964-8975,,"Modern deep transfer learning approaches have mainly focused on learning generic feature vectors from one task that are transferable to other tasks, such as word embeddings in language and pretrained convolutional features in vision. However, these approaches usually transfer unary features and largely ignore more structured graphical representations. This work explores the possibility of learning generic latent relational graphs that capture dependencies between pairs of data units (eg, words or pixels) from large-scale unlabeled data and transferring the graphs to downstream tasks. Our proposed transfer learning framework improves performance on various tasks including question answering, natural language inference, sentiment analysis, and image classification. We also show that the learned graphs are generic enough to be transferred to different embeddings on which the graphs have not been trained (including GloVe embeddings, ELMo embeddings, and task-specific RNN hidden units), or embedding-free units such as image pixels.",15회,"Glomo: Unsupervised learning of transferable relational graphs
Z Yang, JJ Zhao, B Dhingra, K He, WW Cohen… - Proceedings of the 32nd International Conference on …, 2018
15회 인용 관련 학술자료 전체 6개의 버전",,Proceedings of the 32nd International Conference on Neural Information Processing Systems,,,,,,
Autoloss: Learning discrete schedules for alternate optimization,"Haowen Xu, Hao Zhang, Zhiting Hu, Xiaodan Liang, Ruslan Salakhutdinov, Eric Xing",2018/10/4,arXiv preprint arXiv:1810.02442,,,,,"Many machine learning problems involve iteratively and alternately optimizing different task objectives with respect to different sets of parameters. Appropriately scheduling the optimization of a task objective or a set of parameters is usually crucial to the quality of convergence. In this paper, we present AutoLoss, a meta-learning framework that automatically learns and determines the optimization schedule. AutoLoss provides a generic way to represent and learn the discrete optimization schedule from metadata, allows for a dynamic and data-driven schedule in ML problems that involve alternating updates of different parameters or from different loss objectives. We apply AutoLoss on four ML tasks: d-ary quadratic regression, classification using a multi-layer perceptron (MLP), image generation using GANs, and multi-task neural machine translation (NMT). We show that the AutoLoss controller is able to capture the distribution of better optimization schedules that result in higher quality of convergence on all four tasks. The trained AutoLoss controller is generalizable--it can guide and improve the learning of a new task model with different specifications, or on different datasets.",15회,"Autoloss: Learning discrete schedules for alternate optimization
H Xu, H Zhang, Z Hu, X Liang, R Salakhutdinov, E Xing - arXiv preprint arXiv:1810.02442, 2018
15회 인용 관련 학술자료 전체 7개의 버전",,,,,,,,
Question answering from unstructured text by retrieval and comprehension,"Yusuke Watanabe, Bhuwan Dhingra, Ruslan Salakhutdinov",2017/3/26,arXiv preprint arXiv:1703.08885,,,,,"Open domain Question Answering (QA) systems must interact with external knowledge sources, such as web pages, to find relevant information. Information sources like Wikipedia, however, are not well structured and difficult to utilize in comparison with Knowledge Bases (KBs). In this work we present a two-step approach to question answering from unstructured text, consisting of a retrieval step and a comprehension step. For comprehension, we present an RNN based attention model with a novel mixture mechanism for selecting answers from either retrieved articles or a fixed vocabulary. For retrieval we introduce a hand-crafted model and a neural model for ranking relevant articles. We achieve state-of-the-art performance on W IKI M OVIES dataset, reducing the error by 40%. Our experimental results further demonstrate the importance of each of the introduced components.",14회,"Question answering from unstructured text by retrieval and comprehension
Y Watanabe, B Dhingra, R Salakhutdinov - arXiv preprint arXiv:1703.08885, 2017
14회 인용 관련 학술자료 전체 5개의 버전",,,,,,,,
Training a deep autoencoder or a classifier on MNIST digits,"Geoffrey Hinton, R Salakhutdinov",2014/10,,,,,,,14회,"Training a deep autoencoder or a classifier on MNIST digits
G Hinton, R Salakhutdinov - 2014
14회 인용 관련 학술자료",,,,,,,,
Bayesian probabilistic matrix factorization using markov chain monte carlo,"Salakhutdinov Ruslan, M Andriy",2008,,,,,,,14회,"Bayesian probabilistic matrix factorization using markov chain monte carlo
S Ruslan, M Andriy - Proceedings of the 25th international conference on …, 2008
14회 인용 관련 학술자료",Proceedings of the 25th international conference on Machine learning. ACM,,,,,,,
Generating video descriptions with latent topic guidance,"Shizhe Chen, Qin Jin, Jia Chen, Alexander G Hauptmann",2019/1/30,IEEE Transactions on Multimedia,21,9,2407-2418,IEEE,"Automatic video description generation (a.k.a video captioning) is one of the ultimate goals for video understanding. Despite the wide range of applications such as video indexing and retrieval etc., the video captioning task remains quite challenging due to the complexity and diversity of video content. First, open-domain videos cover a broad range of topics, which results in highly variable vocabularies and expression styles to describe the video contents. Second, videos naturally contain multiple modalities including image, motion, and acoustic media. The information provided by different modalities differs in different conditions. In this paper, we propose a novel topic-guided video captioning model to address the above-mentioned challenges in video captioning. Our model consists of two joint tasks, namely, latent topic generation and topic-guided caption generation. The topic generation task aims to automatically …",13회,"Generating video descriptions with latent topic guidance
S Chen, Q Jin, J Chen, AG Hauptmann - IEEE Transactions on Multimedia, 2019
13회 인용 관련 학술자료 전체 3개의 버전",,,,,,,,
Block-normalized gradient method: An empirical study for training deep neural network,"Adams Wei Yu, Lei Huang, Qihang Lin, Ruslan Salakhutdinov, Jaime Carbonell",2017/7/16,arXiv preprint arXiv:1707.04822,,,,,"In this paper, we propose a generic and simple strategy for utilizing stochastic gradient information in optimization. The technique essentially contains two consecutive steps in each iteration: 1) computing and normalizing each block (layer) of the mini-batch stochastic gradient; 2) selecting appropriate step size to update the decision variable (parameter) towards the negative of the block-normalized gradient. We conduct extensive empirical studies on various non-convex neural network optimization problems, including multi-layer perceptron, convolution neural networks and recurrent neural networks. The results indicate the block-normalized gradient can help accelerate the training of neural networks. In particular, we observe that the normalized gradient methods having constant step size with occasionally decay, such as SGD with momentum, have better performance in the deep convolution neural networks, while those with adaptive step sizes, such as Adam, perform better in recurrent neural networks. Besides, we also observe this line of methods can lead to solutions with better generalization properties, which is confirmed by the performance improvement over strong baselines.",13회,"Block-normalized gradient method: An empirical study for training deep neural network
AW Yu, L Huang, Q Lin, R Salakhutdinov, J Carbonell - arXiv preprint arXiv:1707.04822, 2017
13회 인용 관련 학술자료 전체 3개의 버전",,,,,,,,
Semi-supervised mixture-of-experts classification,"Grigoris Karakoulas, Ruslan Salakhutdinov",2004/11/1,,,,138-145,IEEE,"We introduce a mixture-of-experts technique that is a generalization of mixture modeling techniques previously suggested for semi-supervised learning. We apply the bias-variance decomposition to semi-supervised classification and use the decomposition to study the effects from adding unlabeled data when learning a mixture model. Our empirical results indicate that the biggest gain from adding unlabeled data comes from the reduction of the model variance, whereas the behavior of the bias error term heavily depends on the correctness of the underlying model assumptions.",13회,"Semi-supervised mixture-of-experts classification
G Karakoulas, R Salakhutdinov - Fourth IEEE International Conference on Data Mining …, 2004
13회 인용 관련 학술자료 전체 3개의 버전",Fourth IEEE International Conference on Data Mining (ICDM'04),,,,,,,
Adversarial robustness through local lipschitzness,"Yao-Yuan Yang, Cyrus Rashtchian, Hongyang Zhang, Ruslan Salakhutdinov, Kamalika Chaudhuri",2020/3/5,arXiv preprint arXiv:2003.02460,,,,,"A standard method for improving the robustness of neural networks is adversarial training, where the network is trained on adversarial examples that are close to the training inputs. This produces classifiers that are robust, but it often decreases clean accuracy. Prior work even posits that the tradeoff between robustness and accuracy may be inevitable. We investigate this tradeoff in more depth through the lens of local Lipschitzness. In many image datasets, the classes are separated in the sense that images with different labels are not extremely close in distance. Using this separation as a starting point, we argue that it is possible to achieve both accuracy and robustness by encouraging the classifier to be locally smooth around the data. More precisely, we consider classifiers that are obtained by rounding locally Lipschitz functions. Theoretically, we show that such classifiers exist for any dataset such that there is a positive distance between the support of different classes. Empirically, we compare the local Lipschitzness of classifiers trained by several methods. Our results show that having a small Lipschitz constant correlates with achieving high clean and robust accuracy, and therefore, the smoothness of the classifier is an important property to consider in the context of adversarial examples. Code available at this https URL.",12회,"Adversarial robustness through local lipschitzness
YY Yang, C Rashtchian, H Zhang, R Salakhutdinov… - arXiv preprint arXiv:2003.02460, 2020
12회 인용 관련 학술자료",,,,,,,,
"Reducing the dimensionality of data with neural networks. science, 313 (5786), 504-507","GE Hinton, RR Salakhutdinov",2006,DOI= https://doi. org/10.1126/science,1127647,,,,,12회,"Reducing the dimensionality of data with neural networks. science, 313 (5786), 504-507
GE Hinton, RR Salakhutdinov - DOI= https://doi. org/10.1126/science, 2006
12회 인용 관련 학술자료",,,,,,,,
Generative multiple-instance learning models for quantitative electromyography,"Tameem Adel, Benn Smith, Ruth Urner, Daniel Stashuk, Daniel J Lizotte",2013/9/26,arXiv preprint arXiv:1309.6811,,,,,"We present a comprehensive study of the use of generative modeling approaches for Multiple-Instance Learning (MIL) problems. In MIL a learner receives training instances grouped together into bags with labels for the bags only (which might not be correct for the comprised instances). Our work was motivated by the task of facilitating the diagnosis of neuromuscular disorders using sets of motor unit potential trains (MUPTs) detected within a muscle which can be cast as a MIL problem. Our approach leads to a state-of-the-art solution to the problem of muscle classification. By introducing and analyzing generative models for MIL in a general framework and examining a variety of model structures and components, our work also serves as a methodological guide to modelling MIL tasks. We evaluate our proposed methods both on MUPT datasets and on the MUSK1 dataset, one of the most widely used benchmarks for MIL.",11회,"Generative multiple-instance learning models for quantitative electromyography
T Adel, B Smith, R Urner, D Stashuk, DJ Lizotte - arXiv preprint arXiv:1309.6811, 2013
11회 인용 관련 학술자료 전체 17개의 버전",,,,,,,,
Learning cognitive models using neural networks,"Devendra Singh Chaplot, Christopher MacLellan, Ruslan Salakhutdinov, Kenneth Koedinger",2018/6/27,,,,43-56,"Springer, Cham","A cognitive model of human learning provides information about skills a learner must acquire to perform accurately in a task domain. Cognitive models of learning are not only of scientific interest, but are also valuable in adaptive online tutoring systems. A more accurate model yields more effective tutoring through better instructional decisions. Prior methods of automated cognitive model discovery have typically focused on well-structured domains, relied on student performance data or involved substantial human knowledge engineering. In this paper, we propose Cognitive Representation Learner (CogRL), a novel framework to learn accurate cognitive models in ill-structured domains with no data and little to no human knowledge engineering. Our contribution is two-fold: firstly, we show that representations learnt using CogRL can be used for accurate automatic cognitive model discovery without using …",10회,"Learning cognitive models using neural networks
DS Chaplot, C MacLellan, R Salakhutdinov… - International Conference on Artificial Intelligence in …, 2018
10회 인용 관련 학술자료 전체 6개의 버전",International Conference on Artificial Intelligence in Education,,,,,,,
Deep neural networks with multi-branch architectures are less non-convex,"Hongyang Zhang, Junru Shao, Ruslan Salakhutdinov",2018/6/6,arXiv preprint arXiv:1806.01845,,,,,"Several recently proposed architectures of neural networks such as ResNeXt, Inception, Xception, SqueezeNet and Wide ResNet are based on the designing idea of having multiple branches and have demonstrated improved performance in many applications. We show that one cause for such success is due to the fact that the multi-branch architecture is less non-convex in terms of duality gap. The duality gap measures the degree of intrinsic non-convexity of an optimization problem: smaller gap in relative value implies lower degree of intrinsic non-convexity. The challenge is to quantitatively measure the duality gap of highly non-convex problems such as deep neural networks. In this work, we provide strong guarantees of this quantity for two classes of network architectures. For the neural networks with arbitrary activation functions, multi-branch architecture and a variant of hinge loss, we show that the duality gap of both population and empirical risks shrinks to zero as the number of branches increases. This result sheds light on better understanding the power of over-parametrization where increasing the network width tends to make the loss surface less non-convex. For the neural networks with linear activation function and loss, we show that the duality gap of empirical risk is zero. Our two results work for arbitrary depths and adversarial data, while the analytical techniques might be of independent interest to non-convex optimization more broadly. Experiments on both synthetic and real-world datasets validate our results.",10회,"Deep neural networks with multi-branch architectures are less non-convex
H Zhang, J Shao, R Salakhutdinov - arXiv preprint arXiv:1806.01845, 2018
10회 인용 관련 학술자료 전체 3개의 버전",,,,,,,,
Investigating the working of text classifiers,"Devendra Singh Sachan, Manzil Zaheer, Ruslan Salakhutdinov",2018/1/19,arXiv preprint arXiv:1801.06261,,,,,"Text classification is one of the most widely studied tasks in natural language processing. Motivated by the principle of compositionality, large multilayer neural network models have been employed for this task in an attempt to effectively utilize the constituent expressions. Almost all of the reported work train large networks using discriminative approaches, which come with a caveat of no proper capacity control, as they tend to latch on to any signal that may not generalize. Using various recent state-of-the-art approaches for text classification, we explore whether these models actually learn to compose the meaning of the sentences or still just focus on some keywords or lexicons for classifying the document. To test our hypothesis, we carefully construct datasets where the training and test splits have no direct overlap of such lexicons, but overall language structure would be similar. We study various text classifiers and observe that there is a big performance drop on these datasets. Finally, we show that even simple models with our proposed regularization techniques, which disincentivize focusing on key lexicons, can substantially improve classification accuracy.",10회,"Investigating the working of text classifiers
DS Sachan, M Zaheer, R Salakhutdinov - arXiv preprint arXiv:1801.06261, 2018
10회 인용 관련 학술자료 전체 5개의 버전",,,,,,,,
Rewriting history with inverse rl: Hindsight inference for policy improvement,"Benjamin Eysenbach, Xinyang Geng, Sergey Levine, Ruslan Salakhutdinov",2020/2/25,arXiv preprint arXiv:2002.11089,,,,,"Multi-task reinforcement learning (RL) aims to simultaneously learn policies for solving many tasks. Several prior works have found that relabeling past experience with different reward functions can improve sample efficiency. Relabeling methods typically ask: if, in hindsight, we assume that our experience was optimal for some task, for what task was it optimal? In this paper, we show that hindsight relabeling is inverse RL, an observation that suggests that we can use inverse RL in tandem for RL algorithms to efficiently solve many tasks. We use this idea to generalize goal-relabeling techniques from prior work to arbitrary classes of tasks. Our experiments confirm that relabeling data using inverse RL accelerates learning in general multi-task settings, including goal-reaching, domains with discrete sets of rewards, and those with linear reward functions.",9회,"Rewriting history with inverse rl: Hindsight inference for policy improvement
B Eysenbach, X Geng, S Levine, R Salakhutdinov - arXiv preprint arXiv:2002.11089, 2020
9회 인용 관련 학술자료 전체 4개의 버전",,,,,,,,
“My Way of Telling a Story”: Persona based Grounded Story Generation,"Khyathi Chandu, Shrimai Prabhumoye, Ruslan Salakhutdinov, Alan W Black",2019/8,,,,11-21,,"Visual storytelling is the task of generating stories based on a sequence of images. Inspired by the recent works in neural generation focusing on controlling the form of text, this paper explores the idea of generating these stories in different personas. However, one of the main challenges of performing this task is the lack of a dataset of visual stories in different personas. Having said that, there are independent datasets for both visual storytelling and annotated sentences for various persona. In this paper we describe an approach to overcome this by getting labelled persona data from a different task and leveraging those annotations to perform persona based story generation. We inspect various ways of incorporating personality in both the encoder and the decoder representations to steer the generation in the target direction. To this end, we propose five models which are incremental extensions to the baseline model to perform the task at hand. In our experiments we use five different personas to guide the generation process. We find that the models based on our hypotheses perform better at capturing words while generating stories in the target persona.",9회,"“My Way of Telling a Story”: Persona based Grounded Story Generation
K Chandu, S Prabhumoye, R Salakhutdinov, AW Black - Proceedings of the Second Workshop on Storytelling, 2019
9회 인용 관련 학술자료 전체 2개의 버전",Proceedings of the Second Workshop on Storytelling,,,,,,,
